자치구별,성별,소계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95세 이상+
양천구,계,435359,11107,18609,23787,24338,25784,29052,25553,29236,34736,40135,39723,34426,33564,24899,17185,11157,7115,3470,1180,303
양천구,남자,212752,5772,9502,12456,12557,13229,14373,12777,14294,16376,19346,19648,16884,16034,11908,8285,5082,2808,1059,303,59
양천구,여자,222607,5335,9107,11331,11781,12555,14679,12776,14942,18360,20789,20075,17542,17530,12991,8900,6075,4307,2411,877,244
강서구,계,560939,16413,20968,20299,21724,31315,51341,49580,46826,43868,43056,41964,40597,44439,33123,23319,15116,9803,4870,1856,462
강서구,남자,269077,8398,10694,10390,10943,14558,23129,24574,23925,22179,21421,20257,19042,20538,15220,11016,6950,3807,1514,419,103
강서구,여자,291862,8015,10274,9909,10781,16757,28212,25006,22901,21689,21635,21707,21555,23901,17903,12303,8166,5996,3356,1437,359
구로구,계,429461,12891,14854,14259,15041,22456,32838,33814,33769,32459,33708,35865,36166,36872,27738,19734,13158,8432,3898,1216,293
구로구,남자,213777,6680,7518,7259,7906,10965,16064,17196,17814,17047,17652,18050,18099,17788,13073,9419,6047,3522,1317,303,58
구로구,여자,215684,6211,7336,7000,7135,11491,16774,16618,15955,15412,16056,17815,18067,19084,14665,10315,7111,4910,2581,913,235
금천구,계,248029,5971,6777,6598,7664,13676,23677,21096,18242,16394,18340,21919,23452,22359,15745,10993,7530,4604,2105,707,180
금천구,남자,125705,3096,3482,3328,3778,6494,12102,11637,10152,9015,9624,11012,11956,11104,7587,5204,3406,1849,692,149,38
금천구,여자,122324,2875,3295,3270,3886,7182,11575,9459,8090,7379,8716,10907,11496,11255,8158,5789,4124,2755,1413,558,142
영등포구,계,405738,13086,13224,11176,11887,21416,37775,39179,35396,29933,29913,32923,33206,32344,23200,16242,11532,7891,3911,1197,307
영등포구,남자,201339,6702,6776,5738,6278,9774,17553,20007,18696,15914,15693,16653,16856,15865,11233,7532,5083,3223,1376,326,61
영등포구,여자,204399,6384,6448,5438,5609,11642,20222,19172,16700,14019,14220,16270,16350,16479,11967,8710,6449,4668,2535,871,246
동작구,계,389147,10391,12819,12309,13885,30921,39994,31941,29187,27795,28627,29923,28193,28925,21901,16881,12288,7978,3661,1229,299
동작구,남자,187697,5338,6538,6387,7008,14070,19694,16086,14810,14080,14370,14302,13457,13348,10057,7438,5585,3401,1322,330,76
동작구,여자,201450,5053,6281,5922,6877,16851,20300,15855,14377,13715,14257,15621,14736,15577,11844,9443,6703,4577,2339,899,223
관악구,계,496221,9445,11654,11960,14943,40731,72246,50788,36976,32368,33431,34822,33965,34532,26974,21180,15487,9459,3759,1211,290
관악구,남자,247564,4857,5989,6119,7494,18149,36630,27937,20230,17394,17779,17349,16741,16095,12326,9638,7025,4115,1347,301,49
관악구,여자,248657,4588,5665,5841,7449,22582,35616,22851,16746,14974,15652,17473,17224,18437,14648,11542,8462,5344,2412,910,241
서초구,계,396100,12077,19010,21368,20051,23369,27387,27588,30061,34347,36720,33665,26623,26036,20523,15505,10754,6350,3098,1217,351
서초구,남자,189262,6256,9803,10883,10118,11142,12859,12781,13966,15853,17659,16715,12834,12124,9375,7159,5142,2989,1199,326,79
서초구,여자,206838,5821,9207,10485,9933,12227,14528,14807,16095,18494,19061,16950,13789,13912,11148,8346,5612,3361,1899,891,272
강남구,계,501576,12445,20895,27201,26747,29309,37220,36477,38325,43822,47290,43165,33394,32187,26502,19946,13232,7775,3745,1502,397
강남구,남자,239793,6453,10772,14226,13898,14003,17255,17143,17542,19911,22429,21690,16474,14874,11982,9175,6508,3585,1395,385,93
강남구,여자,261783,5992,10123,12975,12849,15306,19965,19334,20783,23911,24861,21475,16920,17313,14520,10771,6724,4190,2350,1117,304
송파구,계,633013,19908,26778,27234,27289,37182,50535,50497,52447,51165,50940,51443,47059,48061,36671,24475,15289,9101,4725,1763,451
송파구,남자,304088,10277,13740,13856,13925,17870,23365,24125,25144,24630,24633,24783,22606,22340,17382,11998,7394,3955,1554,414,97
송파구,여자,328925,9631,13038,13378,13364,19312,27170,26372,27303,26535,26307,26660,24453,25721,19289,12477,7895,5146,3171,1349,354
강동구,계,451998,15252,19302,19067,18698,24672,33736,33748,36786,36839,35395,35821,34331,37047,27890,18850,12052,7119,3610,1414,369
강동구,남자,221442,7832,10010,10128,9826,12323,16130,16668,18346,18425,17742,17389,16497,17369,13149,9124,5858,3045,1171,343,67
강동구,여자,230556,7420,9292,8939,8872,12349,17606,17080,18440,18414,17653,18432,17834,19678,14741,9726,6194,4074,2439,1071,302
