,항목,유성구,진잠동,학하동,상대동,온천1동,온천2동,노은1동,노은2동,노은3동,신성동,전민동,구즉동,관평동,원신흥동
28세,계,"5,652",324,240,200,922,810,277,265,300,544,575,472,339,384
,남,"3,126",179,128,97,471,504,147,146,142,327,336,278,186,185
,여,"2,526",145,112,103,451,306,130,119,158,217,239,194,153,199
29세,계,"5,778",290,280,193,920,763,312,262,368,574,567,455,348,446
,남,"3,171",158,162,92,499,460,151,123,193,321,339,256,192,225
,여,"2,607",132,118,101,421,303,161,139,175,253,228,199,156,221
30세,계,"5,625",271,290,236,855,710,305,257,378,558,529,432,347,457
,남,"3,035",149,152,99,483,434,147,118,176,315,313,241,201,207
,여,"2,590",122,138,137,372,276,158,139,202,243,216,191,146,250
31세,계,"5,282",241,249,230,713,613,293,261,463,538,470,415,356,440
,남,"2,904",140,122,113,416,356,152,137,220,318,281,240,186,223
,여,"2,378",101,127,117,297,257,141,124,243,220,189,175,170,217
32세,계,"5,397",249,246,249,709,614,319,270,460,607,468,408,317,481
,남,"2,900",134,136,118,420,358,165,153,193,353,262,211,175,222
,여,"2,497",115,110,131,289,256,154,117,267,254,206,197,142,259
33세,계,"5,345",219,271,249,638,602,309,280,494,600,450,384,369,480
,남,"2,924",129,130,119,381,345,172,151,259,338,257,220,186,237
,여,"2,421",90,141,130,257,257,137,129,235,262,193,164,183,243
34세,계,"5,238",254,238,273,534,601,291,278,532,569,423,380,339,526
,남,"2,734",144,113,116,335,326,149,135,241,310,220,212,181,252
,여,"2,504",110,125,157,199,275,142,143,291,259,203,168,158,274
35세,계,"5,257",269,257,265,464,637,268,259,630,566,447,360,376,459
,남,"2,773",152,130,129,266,330,136,124,291,329,256,209,194,227
,여,"2,484",117,127,136,198,307,132,135,339,237,191,151,182,232
36세,계,"5,325",272,296,307,437,630,292,290,637,515,423,358,374,494
,남,"2,738",148,148,138,244,341,153,145,298,279,221,196,190,237
,여,"2,587",124,148,169,193,289,139,145,339,236,202,162,184,257
37세,계,"5,186",273,280,343,359,599,283,321,664,416,373,348,398,529
,남,"2,685",142,148,170,206,326,135,170,325,229,203,186,179,266
,여,"2,501",131,132,173,153,273,148,151,339,187,170,162,219,263
38세,계,"5,816",301,310,394,390,601,357,360,759,464,410,399,471,600
,남,"2,943",166,154,197,236,313,180,175,364,228,221,203,227,279
,여,"2,873",135,156,197,154,288,177,185,395,236,189,196,244,321
39세,계,"6,331",406,346,452,415,638,369,402,789,450,453,430,532,649
,남,"3,112",203,176,195,243,326,170,176,375,219,243,200,259,327
,여,"3,219",203,170,257,172,312,199,226,414,231,210,230,273,322
40세,계,"6,433",384,311,461,383,660,388,424,921,449,395,496,538,623
,남,"3,148",193,162,199,208,347,173,205,445,234,175,263,261,283
,여,"3,285",191,149,262,175,313,215,219,476,215,220,233,277,340
41세,계,"6,107",402,310,430,332,613,431,427,770,464,419,457,488,564
,남,"3,027",224,164,210,178,303,209,201,380,234,197,231,237,259
,여,"3,080",178,146,220,154,310,222,226,390,230,222,226,251,305
42세,계,"5,935",356,251,445,284,526,406,435,770,406,415,446,564,631
,남,"2,912",177,133,212,162,252,174,184,385,201,196,239,276,321
,여,"3,023",179,118,233,122,274,232,251,385,205,219,207,288,310
43세,계,"5,603",367,288,400,315,515,425,417,700,394,379,383,502,518
,남,"2,737",193,150,200,180,268,198,184,328,184,177,183,237,255
,여,"2,866",174,138,200,135,247,227,233,372,210,202,200,265,263
44세,계,"5,799",387,229,397,313,535,421,440,711,392,438,466,547,523
,남,"2,806",214,122,183,168,266,210,192,342,204,216,220,231,238
,여,"2,993",173,107,214,145,269,211,248,369,188,222,246,316,285
45세,계,"5,687",386,232,402,302,498,419,416,729,427,421,414,563,478
,남,"2,836",192,119,168,186,261,211,205,356,225,212,217,260,224
,여,"2,851",194,113,234,116,237,208,211,373,202,209,197,303,254
46세,계,"5,734",436,233,420,333,469,390,473,717,385,387,428,608,455
,남,"2,829",224,117,217,176,241,186,228,345,199,177,209,278,232
,여,"2,905",212,116,203,157,228,204,245,372,186,210,219,330,223
